,movie_id,budget,revenue
0,566525,150000000,430238384
1,370172,242000000,708000000
2,580489,110000000,424000000
3,522402,0,0
4,763164,0,0
5,885110,250000,0
6,512195,200000000,0
7,524434,200000000,282417282
8,744275,14000000,19000000
9,585245,0,22000000
10,796499,0,0
11,438631,165000000,352769291
12,618162,0,0
13,550988,110000000,331096766
14,634649,0,0
15,843241,0,0
16,335983,116000000,855013954
17,775943,0,0
18,714968,0,0
19,854442,0,0
20,568620,88000000,36964325
21,574060,30000000,344931
22,672582,0,0
23,630004,0,0
24,871964,0,0
25,635302,15800000,503063688
26,639721,0,105000000
27,768449,0,0
28,849938,0,0
29,508943,200000000,49010641
30,1930,215000000,757930663
31,610253,20000000,127000000
32,703771,0,0
33,589754,8400000,27658331
34,459151,82000000,112000000
35,451048,200000000,213644366
36,762469,0,0
37,436969,180000000,167381210
38,385128,200000000,721077945
39,675319,5000000,0
40,429617,160000000,1131927996
41,497698,200000000,378328978
42,846167,0,0
43,675445,26000000,121000000
44,315635,175000000,880166924
45,645788,0,8115215
46,654974,0,0
47,760747,0,0
48,820511,0,0
49,568124,0,0
50,839436,0,0
51,879163,0,0
52,772436,0,0
53,557,139000000,821708551
54,379686,161900000,148810604
55,460465,20000000,83601013
56,337404,200000000,233274812
57,559,258000000,890871626
58,760195,0,0
59,859041,0,0
60,102382,200000000,708962323
61,831405,0,0
62,791373,70000000,657000000
63,726684,0,0
64,588228,200000000,0
65,581726,0,0
66,637649,40000000,103966489
67,777620,0,0
68,874948,0,0
69,681887,20000000,0
70,524369,0,11620603
71,637534,14479740,0
72,864388,0,0
73,774021,0,0
74,864873,0,0
75,685274,0,0
76,525660,38504400,3310000
77,399566,200000000,467863133
78,809065,0,0
79,852663,0,0
80,876716,45223,0
81,299536,300000000,2046239637
82,812204,0,0
83,706972,0,0
84,324857,90000000,375540831
85,613504,0,42000000
86,588921,0,7877742
87,19995,237000000,2847246203
88,631843,18000000,89500000
89,755812,0,0
90,671,125000000,976475550
91,662708,0,0
92,482373,10000000,45000000
93,592350,0,29900850
94,529203,65000000,168285000
95,453354,0,0
96,859860,0,0
97,805411,0,0
98,423108,39000000,199166992
99,825997,0,0
100,527774,100000000,130000000
101,619297,0,0
102,613098,0,0
103,672,100000000,876688482
104,767304,0,0
105,891657,0,0
106,882206,0,0
107,843906,0,0
108,354912,175000000,800526015
109,595743,0,0
110,813258,0,0
111,503736,0,780000
112,669671,21700000,0
113,848278,0,0
114,20982,29000000,0
115,602223,18000000,76981630
116,13811,50000000,155446362
117,674,150000000,895921036
118,641501,18000000,0
119,522444,0,0
120,725273,0,0
121,537915,14000000,69497587
122,539885,0,2987741
123,632357,10000000,30763855
124,458576,60000000,25814306
125,464052,200000000,165160005
126,846214,0,0
127,573164,0,0
128,747688,0,0
129,785538,0,0
130,347201,0,40200000
131,317442,1000000,16500000
132,634528,23000000,22039969
133,673,130000000,789804554
134,840756,0,0
135,529106,5000000,4493306
136,597316,0,0
137,672322,0,0
138,299534,356000000,2797800564
139,741636,0,0
140,587807,50000000,132000000
141,12444,250000000,954305868
142,877183,0,0
143,767,250000000,933959197
144,729720,0,0
145,597891,0,0
146,675,150000000,938212738
147,861057,0,0
148,12445,125000000,1341511219
149,475557,55000000,1074251311
150,24428,220000000,1518815515
151,425909,0,0
152,505262,12000000,31478826
153,520763,61000000,297372261
154,653740,0,0
155,719088,0,0
156,375211,0,0
157,508442,150000000,136384442
158,550205,0,25860000
159,385687,0,0
160,9769,62000000,1071255
161,303857,5000000,61768190
162,585083,0,0
163,834404,0,0
164,581644,0,0
165,8960,150000000,629443428
166,800497,6500000,250811
167,400160,60000000,4700000
168,637693,30000000,17635215
169,839100,0,0
170,482321,0,46000000
171,24021,68000000,698491347
172,619778,40000000,24640084
173,449406,0,0
174,38234,3000000,0
175,768744,0,38410729
176,15092,20000000,34560577
177,617502,0,0
178,586047,0,0
179,522478,45000000,153000000
180,880009,0,0
181,841755,0,0
182,604822,0,27900000
183,615457,17000000,61779301
184,522241,0,24901420
185,532067,0,0
186,531219,45,0
187,850818,0,0
188,892342,0,0
189,541524,0,0
190,857702,0,0
191,878962,0,0
192,623135,0,0
193,739990,0,0
194,866408,0,0
195,25769,0,5802422
196,784500,0,0
197,678580,0,0
198,893204,0,0
199,572154,0,0
