movie_id,budget,revenue
566525,150000000,430238384
370172,242000000,708000000
580489,110000000,424000000
522402,0,0
763164,0,0
885110,250000,0
512195,200000000,0
524434,200000000,282417282
744275,14000000,19000000
585245,0,22000000
796499,0,0
438631,165000000,352769291
618162,0,0
550988,110000000,331096766
634649,0,0
843241,0,0
335983,116000000,855013954
775943,0,0
714968,0,0
854442,0,0
568620,88000000,36964325
574060,30000000,344931
672582,0,0
630004,0,0
871964,0,0
635302,15800000,503063688
639721,0,105000000
768449,0,0
849938,0,0
508943,200000000,49010641
1930,215000000,757930663
610253,20000000,127000000
703771,0,0
589754,8400000,27658331
459151,82000000,112000000
451048,200000000,213644366
762469,0,0
436969,180000000,167381210
385128,200000000,721077945
675319,5000000,0
429617,160000000,1131927996
497698,200000000,378328978
846167,0,0
675445,26000000,121000000
315635,175000000,880166924
645788,0,8115215
654974,0,0
760747,0,0
820511,0,0
568124,0,0
839436,0,0
879163,0,0
772436,0,0
557,139000000,821708551
379686,161900000,148810604
460465,20000000,83601013
337404,200000000,233274812
559,258000000,890871626
760195,0,0
859041,0,0
102382,200000000,708962323
831405,0,0
791373,70000000,657000000
726684,0,0
588228,200000000,0
581726,0,0
637649,40000000,103966489
777620,0,0
874948,0,0
681887,20000000,0
524369,0,11620603
637534,14479740,0
864388,0,0
774021,0,0
864873,0,0
685274,0,0
525660,38504400,3310000
399566,200000000,467863133
809065,0,0
852663,0,0
876716,45223,0
299536,300000000,2046239637
812204,0,0
706972,0,0
324857,90000000,375540831
613504,0,42000000
588921,0,7877742
19995,237000000,2847246203
631843,18000000,89500000
755812,0,0
671,125000000,976475550
662708,0,0
482373,10000000,45000000
592350,0,29900850
529203,65000000,168285000
453354,0,0
859860,0,0
805411,0,0
423108,39000000,199166992
825997,0,0
527774,100000000,130000000
619297,0,0
613098,0,0
672,100000000,876688482
767304,0,0
891657,0,0
882206,0,0
843906,0,0
354912,175000000,800526015
595743,0,0
813258,0,0
503736,0,780000
669671,21700000,0
848278,0,0
20982,29000000,0
602223,18000000,76981630
13811,50000000,155446362
674,150000000,895921036
641501,18000000,0
522444,0,0
725273,0,0
537915,14000000,69497587
539885,0,2987741
632357,10000000,30763855
458576,60000000,25814306
464052,200000000,165160005
846214,0,0
573164,0,0
747688,0,0
785538,0,0
347201,0,40200000
317442,1000000,16500000
634528,23000000,22039969
673,130000000,789804554
840756,0,0
529106,5000000,4493306
597316,0,0
672322,0,0
299534,356000000,2797800564
741636,0,0
587807,50000000,132000000
12444,250000000,954305868
877183,0,0
767,250000000,933959197
729720,0,0
597891,0,0
675,150000000,938212738
861057,0,0
12445,125000000,1341511219
475557,55000000,1074251311
24428,220000000,1518815515
425909,0,0
505262,12000000,31478826
520763,61000000,297372261
653740,0,0
719088,0,0
375211,0,0
508442,150000000,136384442
550205,0,25860000
385687,0,0
9769,62000000,1071255
303857,5000000,61768190
585083,0,0
834404,0,0
581644,0,0
8960,150000000,629443428
800497,6500000,250811
400160,60000000,4700000
637693,30000000,17635215
839100,0,0
482321,0,46000000
24021,68000000,698491347
619778,40000000,24640084
449406,0,0
38234,3000000,0
768744,0,38410729
15092,20000000,34560577
617502,0,0
586047,0,0
522478,45000000,153000000
880009,0,0
841755,0,0
604822,0,27900000
615457,17000000,61779301
522241,0,24901420
532067,0,0
531219,45,0
850818,0,0
892342,0,0
541524,0,0
857702,0,0
878962,0,0
623135,0,0
739990,0,0
866408,0,0
25769,0,5802422
784500,0,0
678580,0,0
893204,0,0
572154,0,0
